Dep. Variable:,inc_activity,R-squared:,0.894
Model:,OLS,Adj. R-squared:,0.893
Method:,Least Squares,F-statistic:,2261.0
Date:,"Thu, 09 Mar 2023",Prob (F-statistic):,0.0
Time:,12:45:30,Log-Likelihood:,-14495.0
No. Observations:,811,AIC:,29000.0
Df Residuals:,807,BIC:,29020.0
Df Model:,3,,
Covariance Type:,nonrobust,,
,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,301000.0,533000.0,0.565,0.572,-745000.0,1350000.0
inc_grants,-0.8846,0.025,-35.956,0.0,-0.933,-0.836
inc_donations,-0.6647,0.016,-40.721,0.0,-0.697,-0.633
total_costs,0.8313,0.011,78.674,0.0,0.811,0.852
Omnibus:,1339.956,Durbin-Watson:,1.414
Prob(Omnibus):,0.0,Jarque-Bera (JB):,1253317.706
Skew:,9.899,Prob(JB):,0.0
Kurtosis:,194.566,Cond. No.,105000000.0
